business_id,score,date
68675,98,10/15/14
68675,97,4/1/15
68675,87,5/11/15
68675,95,5/11/15
61165,97,2/23/15
61165,97,4/7/15
37018,100,7/23/14
37018,98,1/6/15
76791,100,10/10/14
76791,99,4/15/15
76661,99,10/10/14
76661,99,4/15/15
30689,83,9/10/14
30689,95,9/23/14
30689,72,3/12/15
30689,97,3/25/15
96660,100,12/17/14
30808,100,9/25/14
30808,100,1/15/15
92289,94,8/21/14
92289,100,10/1/14
92289,95,3/4/15
92289,99,3/19/15
61878,96,10/17/14
61878,100,11/6/14
61878,95,3/31/15
30822,100,11/17/14
30822,97,5/18/15
56602,97,6/24/14
56602,98,12/12/14
96973,100,4/27/15
90209,97,10/20/14
90209,98,4/30/15
90867,99,10/20/14
90867,99,4/30/15
68559,96,10/20/14
30816,99,10/20/14
30816,99,4/30/15
30815,100,8/21/14
30815,100,9/17/14
30815,100,1/29/15
33085,100,1/7/15
65436,98,8/26/14
65436,98,4/21/15
58029,95,10/22/14
58029,100,10/22/14
58029,100,4/15/15
64910,98,9/3/14
64910,92,3/11/15
64910,96,3/11/15
31454,100,11/5/14
31454,100,4/14/15
30821,100,9/15/14
30821,100,2/11/15
84794,100,10/6/14
84794,95,3/26/15
30824,97,6/18/14
30824,96,12/16/14
96668,100,12/29/14
50119,90,10/6/14
50119,95,10/6/14
50119,96,3/17/15
52037,96,7/24/14
52037,99,1/13/15
30827,99,9/5/14
30827,100,3/16/15
93044,97,10/24/14
93044,100,4/22/15
34431,99,7/15/14
34431,100,1/16/15
90279,100,6/30/14
90279,100,12/12/14
94287,100,5/18/15
65047,100,3/4/15
31779,98,10/22/14
31779,97,5/22/15
30830,100,7/25/14
30830,98,1/29/15
30831,98,6/25/14
30831,97,12/22/14
30832,84,8/19/14
30832,97,8/28/14
30832,85,2/6/15
30832,95,2/20/15
30783,98,7/18/14
30783,98,1/7/15
47738,100,7/23/14
32521,100,11/24/14
32521,96,5/13/15
30869,96,6/18/14
30869,96,12/9/14
30870,97,10/2/14
30870,98,3/26/15
30871,97,6/26/14
30871,87,12/18/14
30871,99,1/5/15
77359,96,11/20/14
77359,95,5/19/15
77359,99,5/19/15
80653,100,11/18/14
80653,92,5/26/15
80653,96,5/26/15
30873,93,9/24/14
30873,98,9/24/14
30873,100,2/9/15
68737,97,7/15/14
68737,95,1/16/15
68737,99,1/16/15
75714,95,12/1/14
54982,96,9/23/14
54982,97,3/16/15
67299,98,11/25/14
69125,98,8/13/14
69125,99,2/27/15
30881,100,9/23/14
30881,100,4/8/15
65666,96,7/16/14
65666,88,1/12/15
65666,97,1/26/15
47306,99,11/20/14
47306,99,2/3/15
65030,98,6/11/14
65030,95,12/10/14
65030,99,12/10/14
75078,97,10/17/14
75078,96,5/4/15
48036,99,8/1/14
48036,99,1/12/15
70805,100,9/22/14
70805,100,3/31/15
74017,100,10/28/14
74017,100,4/10/15
38961,100,10/21/14
38961,100,5/8/15
93825,100,8/4/14
93825,100,1/15/15
93826,100,8/4/14
93826,100,1/15/15
76417,100,10/13/14
76417,96,4/8/15
76417,100,4/8/15
62322,90,10/22/14
62322,99,10/22/14
62322,95,4/6/15
62322,99,4/6/15
64094,100,4/14/15
64094,100,5/16/15
30889,96,7/11/14
30889,99,1/7/15
30678,99,10/15/14
30678,98,4/8/15
95975,100,8/13/14
95975,92,2/25/15
95975,99,2/25/15
37650,100,7/30/14
37650,96,2/2/15
30893,98,6/30/14
30893,99,12/23/14
55047,98,6/16/14
55047,98,12/9/14
79522,99,6/27/14
79522,95,12/29/14
79522,98,12/29/14
96133,100,10/13/14
96133,100,11/12/14
96133,93,5/20/15
96133,98,5/20/15
96707,100,1/22/15
89981,98,7/7/14
89981,100,1/7/15
44583,98,6/18/14
44583,95,12/9/14
30875,97,11/26/14
30875,100,5/27/15
88878,100,8/13/14
88878,100,2/4/15
70999,100,12/30/14
69882,98,9/16/14
69882,98,2/13/15
81292,98,8/13/14
81292,97,2/6/15
30898,100,3/2/15
67108,99,11/4/14
32453,96,9/23/14
91129,100,9/4/14
91129,100,2/27/15
30899,96,6/26/14
30899,98,12/18/14
30899,93,12/18/14
30899,97,12/18/14
94734,100,8/6/14
94734,95,1/22/15
94734,99,1/22/15
52855,97,11/26/14
52855,100,1/6/15
62511,99,8/18/14
62511,99,2/5/15
60151,96,8/4/14
60151,92,2/5/15
60151,100,3/4/15
92043,100,6/26/14
92043,100,12/19/14
31022,82,9/18/14
31022,99,10/1/14
31022,98,4/1/15
52351,76,7/3/14
52351,97,7/17/14
52351,93,12/12/14
54377,91,11/17/14
54377,96,11/17/14
70478,90,6/19/14
70478,99,7/2/14
70478,94,7/2/14
70478,98,11/26/14
35287,100,10/30/14
35287,100,5/12/15
95866,98,7/31/14
95866,98,12/8/14
95866,99,5/14/15
96623,100,2/10/15
