business_id,score,date
67372,87,20150608
67372,98,20150623
67372,94,20151112
61072,99,20150224
61072,100,20151110
98932,100,20160125
30690,97,20150409
30690,89,20151007
30690,98,20151007
31040,99,20150619
31040,96,20151202
32279,100,20150330
32279,100,20150917
95307,98,20150630
95307,100,20151210
65080,96,20150527
65080,96,20151201
30740,97,20150628
30740,96,20151125
43192,100,20150319
43192,100,20150902
96528,99,20150617
96528,99,20151210
31710,100,20150723
31710,100,20160104
75081,100,20150406
75081,100,20150928
74487,98,20150610
74487,99,20151204
96533,100,20150515
96533,100,20151019
41689,96,20150213
41689,100,20150213
41689,97,20150804
41689,97,20160217
70022,100,20150630
70022,100,20151229
69489,100,20150304
69489,100,20150915
84685,100,20150316
84685,100,20150911
88221,100,20150410
88221,100,20151006
83286,100,20150617
83286,100,20151218
79573,100,20150520
79573,100,20151214
70024,98,20150915
77973,100,20150518
77973,100,20151106
89306,100,20150219
89306,100,20150825
77812,97,20150611
77812,99,20151203
89304,98,20150330
89304,99,20150923
82821,99,20150330
82821,100,20151106
54921,100,20150504
54921,100,20151119
93062,95,20150319
93062,100,20150415
93062,88,20150923
93062,100,20151013
67013,98,20150622
67013,100,20151223
71072,100,20151228
30745,91,20150406
30745,94,20150420
30745,92,20150928
81536,98,20150615
81536,98,20150722
81536,98,20160212
42242,97,20150710
42242,99,20160105
89969,100,20150319
89969,100,20150923
85539,100,20150427
85539,99,20151116
60544,92,20150729
60544,96,20150729
60544,98,20160112
39671,85,20150610
39671,89,20150623
39671,100,20150630
39671,95,20151117
71880,97,20150908
71880,98,20160208
76520,99,20150416
76520,98,20151021
30794,98,20150625
30794,98,20151201
31459,100,20150813
31459,76,20160209
31459,98,20160224
36043,100,20150813
36043,95,20160209
76790,100,20150713
76790,99,20160203
48387,95,20150602
48387,97,20151123
48691,99,20150527
48691,99,20151116
49229,97,20150626
49229,98,20151218
30759,96,20150414
30759,97,20151001
30756,98,20150420
30756,97,20151012
30761,98,20150527
30761,100,20151116
30757,100,20150714
30757,100,20160204
30762,100,20150402
30762,96,20150930
62651,98,20150513
62651,99,20151026
30760,100,20150521
30760,99,20151016
30758,96,20150311
30758,96,20150916
30763,95,20150403
30763,99,20150922
91858,99,20150630
91858,99,20151210
71289,100,20150227
71289,100,20150918
30904,98,20150513
30904,100,20151119
63815,96,20150225
63815,100,20150225
63815,95,20150914
63815,99,20150914
63815,100,20151015
30764,100,20150223
30764,99,20151006
32210,97,20150701
32210,95,20151229
80512,100,20150331
80512,100,20150928
30767,100,20150309
30767,96,20150828
30767,95,20150911
30767,100,20151026
30766,99,20150915
30766,100,20160107
30768,100,20150910
96454,95,20150429
96454,98,20151013
77498,94,20150423
77498,97,20151102
43117,95,20150406
43117,99,20151005
50280,96,20150618
50280,94,20151214
78050,100,20150622
78050,100,20151125
71975,96,20150331
71975,90,20151005
71975,94,20151015
38315,100,20150225
38315,100,20150902
38315,95,20160217
38315,100,20160217
89410,100,20150508
89410,86,20151123
89410,96,20151204
97036,98,20150915
31995,100,20150601
31995,100,20151116
60746,100,20150522
76625,100,20150310
76625,100,20150916
76625,100,20160107
71209,100,20150206
71209,100,20150803
71209,100,20160210
30773,100,20150624
30773,100,20151215
61166,99,20150622
61166,85,20151124
61166,94,20151124
75633,100,20151028
75633,100,20151223
75633,100,20160209
72696,91,20150629
72696,96,20150629
72696,96,20151218
72696,100,20151218
76013,88,20150807
76013,93,20150807
76013,95,20160104
89821,95,20150312
89821,98,20150312
89821,97,20150812
89821,96,20160204
67829,96,20150408
67829,98,20151215
61459,93,20150517
61459,89,20151103
61459,94,20151103
31780,97,20150224
31780,91,20151013
31780,100,20151026
85008,87,20150731
85008,92,20150814
85008,100,20150828
85008,94,20160108
41126,100,20151102
41126,100,20151208
94566,100,20150716
94566,100,20160208
30885,100,20150611
30885,98,20150909
66803,99,20150206
66803,100,20150909
61343,100,20150708
61343,100,20160115
30782,98,20150720
30782,90,20160107
30782,95,20160107
91909,97,20150611
91909,93,20151105
32402,96,20150710
32402,97,20160107
32215,90,20150804
32215,95,20150804
32215,98,20151117
61796,94,20150415
61796,98,20150415
61796,98,20151204
98933,100,20151222
98933,94,20160201
98933,98,20160212
30785,98,20150406
30785,97,20151013
58942,100,20150320
58942,100,20150930
56134,97,20150424
56134,96,20151012
56134,100,20151023
94180,98,20150625
94180,99,20151217
30784,96,20150326
30784,97,20150925
30789,98,20150320
30789,99,20150922
68766,99,20151009
93523,99,20150709
93523,100,20160201
57053,100,20150806
57053,99,20150911
32446,99,20150429
32446,100,20151118
31631,100,20150318
31631,100,20151027
31623,99,20150318
31623,100,20151027
91112,100,20150515
91112,98,20151030
90181,95,20150313
90181,97,20151013
30796,99,20150611
91880,99,20150624
91880,100,20151217
68202,100,20150714
68202,96,20160203
93444,100,20150210
93444,100,20150814
93444,100,20160114
