Est Number,Reporting Area,Premise Name,Premise Address 1,Inspection Type,Score,Inspection Date,Violation List,Followup Required
30740,605,A P  SUGGINS,345 ROMANY RD,1,93,18-Dec-13,  15  17  19  31,NO
30740,605,A P  SUGGINS,345 ROMANY RD,2,97,18-Dec-13,  15  19  31,NO
43192,605,"A&W BURGERS, CHICKEN, FLOATS",3401 NICHOLASVILLE RD STE FL-07,1,100,22-Oct-13,,NO
43192,605,"A&W BURGERS, CHICKEN, FLOATS",3401 NICHOLASVILLE RD STE FL-07,2,100,25-Nov-13,,NO
43192,605,"A&W BURGERS, CHICKEN, FLOATS",3401 NICHOLASVILLE RD STE FL-07,1,99,24-Apr-14,15,NO
75081,605,"ABC 123 LEARNING CENTER, LLC",285 E. SIXTH STREET,1,97,15-Oct-13,  15  30  31,NO
75081,605,"ABC 123 LEARNING CENTER, LLC",285 E. SIXTH STREET,1,97,29-Apr-14,   8  19,NO
74487,605,ABUELO'S MEXICAN FOOD EMBASSY,3395 NICHOLASVILLE ROAD,1,94,11-Jun-13,  11  19,NO
74487,605,ABUELO'S MEXICAN FOOD EMBASSY,3395 NICHOLASVILLE ROAD,2,99,11-Jun-13,19,NO
74487,605,ABUELO'S MEXICAN FOOD EMBASSY,3395 NICHOLASVILLE ROAD,1,96,18-Dec-13,1,NO
74487,605,ABUELO'S MEXICAN FOOD EMBASSY,3395 NICHOLASVILLE ROAD,2,100,18-Dec-13,,NO
72071,605,ACTIVE DAY OF LEXINGTON,2432 REGENCY RD,1,99,20-Nov-13,19,NO
72071,605,ACTIVE DAY OF LEXINGTON,2432 REGENCY RD,1,100,16-May-14,,NO
41689,605,"ADVENTURE CENTER, LLS",1440 FORBES ROAD,1,99,19-Sep-13,15,NO
41689,605,"ADVENTURE CENTER, LLS",1440 FORBES ROAD,1,100,13-Mar-14,,NO
70022,605,AFC SUSHI @ KROGER # 407,3101 RICHMOND ROAD,1,99,23-Oct-13,20,NO
70022,605,AFC SUSHI @ KROGER # 407,3101 RICHMOND ROAD,1,100,1-May-14,,NO
69489,605,AFC SUSHI @ KROGER #347,4101 TATES CREEK RD,1,100,19-Aug-13,,NO
84685,605,AFC SUSHI @ KROGER #352,2335 NICHOLASVILLE RD,1,100,28-Oct-13,,NO
84685,605,AFC SUSHI @ KROGER #352,2335 NICHOLASVILLE RD,1,100,18-Apr-14,,NO
88221,605,AFC SUSHI @ KROGER #737,1060 CHINOE RD.,1,97,12-Sep-13,   5  15,NO
