business_id,name,address,city,state
93523,BLACK PEARL KIOSK,,Lexington,KY
32446,BLAZER CAFE,,Lexington,KY
31631,BLUE 3 STAND,,Lexington,KY
31623,BLUE CONCOURSE NO. 4,,Lexington,KY
91112,BLUE DEVILS FOOTBALL BOOSTERS,,Lexington,KY
90181,BLUE DOOR SMOKEHOUSE,,Lexington,KY
30796,BLUE GRASS CHRISTIAN CAMP,,Lexington,KY
91880,"BLUE HERON, THE",,Lexington,KY
68202,BLUE REEF - SUSHI & GRILL,,Lexington,KY
93444,BLUE STALLION,,Lexington,KY
31138,BLUEFIRE BAR & GRILL,,Lexington,KY
62124,BLUEGRASS BAPTIST SCHOOL,,Lexington,KY
30771,BLUEGRASS CAFE @ BCTC,,Lexington,KY
37896,BLUEGRASS CATERING,,Lexington,KY
67747,BLUEGRASS GIRLS FASTPITCH,,Lexington,KY
76789,BLUEGRASS TAVERN,,Lexington,KY
92854,BLUEGRASS VOLLEYBALL CENTER,,Lexington,KY
30800,BOB EVANS RESTAURANT #107,,Lexington,KY
30799,BOB EVANS RESTAURANT #53,,Lexington,KY
87246,BOB'S HOT DOGS COMMISSARY,,Lexington,KY
31557,BOMBAY BAR & GRILL,,Lexington,KY
72553,BONEFISH GRILL,,Lexington,KY
30804,BOOKER T. WASHINGTON ACADEMY - PRIMARY,,Lexington,KY
30797,BOOKER T. WASHINGTON ACADEMY- INTERMEDIATE,,Lexington,KY
68675,BOURBON N'  TOULOUSE,,Lexington,KY
61165,BP OIL MAPLELEAF,,Lexington,KY
37018,BP RICHMOND RD,,Lexington,KY
76791,BRACKTOWN ACAD. LEARNING CTR.,,Lexington,KY
76661,BRACKTOWN BAPTIST CHURCH,,Lexington,KY
87741,BRADFORD BBQ,,Lexington,KY
30689,BRASABANA,,Lexington,KY
30808,BRECKINRIDGE ELEMENTARY,,Lexington,KY
77157,BRENDA D. COWAN COALITION,,Lexington,KY
92289,BRICK OVEN PIZZERIA,,Lexington,KY
61878,"BRIDGE PIZZA, THE",,Lexington,KY
30822,BROOKS BBQ 2,,Lexington,KY
56602,BRU BURGER BAR,,Lexington,KY
90209,BRYAN STATION BASEBALL BOOSTER CONCESSION,,Lexington,KY
68559,BRYAN STATION HIGH - SOFTBALL,,Lexington,KY
30816,BRYAN STATION HIGH SCHOOL,,Lexington,KY
30815,BRYAN STATION MIDDLE SCHOOL,,Lexington,KY
65436,BUDWEISER STABLES,,Lexington,KY
58029,BUFFALO WILD WINGS #15,,Lexington,KY
64910,BUFFALO WILD WINGS GRILL & BAR #49,,Lexington,KY
31454,BURGER & SHAKE,,Lexington,KY
30821,BURGER KING #1007,,Lexington,KY
84794,BURGER KING #17304,,Lexington,KY
