Est Number,Premise Name,Premise Address 1,Status,Inspection Type,Score,Inspection Date,Violation List,Followup Required,Opening Date
83286.0,AFC SUSHI @ KROGER #767,3175 BEAUMONT CNTR CIRCLE,ACTIVE,1.0,100.0,2015-06-17,,NO,2009-04-09
83286.0,AFC SUSHI @ KROGER #767,3175 BEAUMONT CNTR CIRCLE,ACTIVE,1.0,100.0,2015-12-18,,NO,2009-04-09
79573.0,AFC SUSHI @ KROGER #768,"1600 LEESTOWN ROAD, STE 150",ACTIVE,1.0,100.0,2015-05-20,,NO,2007-12-12
79573.0,AFC SUSHI @ KROGER #768,"1600 LEESTOWN ROAD, STE 150",ACTIVE,1.0,100.0,2015-12-14,,NO,2007-12-12
70024.0,AFC SUSHI @ KROGER #784,704 EUCLID,ACTIVE,1.0,100.0,2015-01-27,,NO,2015-01-21
70024.0,AFC SUSHI @ KROGER #784,704 EUCLID,ACTIVE,1.0,98.0,2015-09-15,  16,NO,2015-01-21
77973.0,AFC SUSHI @ KROGER 371,3650 BOSTON ROAD,ACTIVE,1.0,100.0,2015-05-18,,NO,2007-04-24
77973.0,AFC SUSHI @ KROGER 371,3650 BOSTON ROAD,ACTIVE,1.0,100.0,2015-11-06,,NO,2007-04-24
89306.0,AFC SUSHI @ KROGER L-359,1650 BRYAN STATION ROAD,ACTIVE,1.0,100.0,2015-02-19,,NO,2012-04-17
89306.0,AFC SUSHI @ KROGER L-359,1650 BRYAN STATION ROAD,ACTIVE,1.0,100.0,2015-08-25,,NO,2012-04-17
77812.0,AFC SUSHI @ KROGER L-361,1808 ALEXANDRIA DRIVE,ACTIVE,1.0,97.0,2014-12-11,  13,NO,2011-09-29
77812.0,AFC SUSHI @ KROGER L-361,1808 ALEXANDRIA DRIVE,ACTIVE,2.0,100.0,2014-12-22,,NO,2011-09-29
77812.0,AFC SUSHI @ KROGER L-361,1808 ALEXANDRIA DRIVE,ACTIVE,1.0,97.0,2015-06-11,  16  19,NO,2011-09-29
77812.0,AFC SUSHI @ KROGER L-361,1808 ALEXANDRIA DRIVE,ACTIVE,1.0,99.0,2015-12-03,  18,NO,2011-09-29
89304.0,AFC SUSHI @ KROGER L-721,4750 HARTLAND PARKWAY,ACTIVE,1.0,98.0,2015-03-30,  12,NO,2011-09-29
89304.0,AFC SUSHI @ KROGER L-721,4750 HARTLAND PARKWAY,ACTIVE,1.0,99.0,2015-09-23,  19,NO,2011-09-29
82821.0,AFC SUSHI @ UKY001,800 ROSE STREET,ACTIVE,1.0,99.0,2015-03-30,  18,NO,2009-01-23
82821.0,AFC SUSHI @ UKY001,800 ROSE STREET,ACTIVE,1.0,100.0,2015-11-06,,NO,2009-01-23
54921.0,AG NORTH DELI,1100 S LIMESTONE ST.,ACTIVE,1.0,100.0,2015-05-04,,NO,1996-03-06
54921.0,AG NORTH DELI,1100 S LIMESTONE ST.,ACTIVE,1.0,100.0,2015-11-19,,NO,1996-03-06
93062.0,ALANNA'S HOUSE OF SOUL,207 S LIMESTONE,ACTIVE,1.0,95.0,2015-03-19,  13  26,YES,2014-03-26
93062.0,ALANNA'S HOUSE OF SOUL,207 S LIMESTONE,ACTIVE,2.0,100.0,2015-04-15,,NO,2014-03-26
93062.0,ALANNA'S HOUSE OF SOUL,207 S LIMESTONE,ACTIVE,1.0,88.0,2015-09-23,   3  12  13  26,YES,2014-03-26
93062.0,ALANNA'S HOUSE OF SOUL,207 S LIMESTONE,ACTIVE,2.0,100.0,2015-10-13,,NO,2014-03-26
67013.0,ALFALFA RESTAURANT,141 E. MAIN,ACTIVE,1.0,98.0,2014-12-18,  19  31,NO,2004-04-30
67013.0,ALFALFA RESTAURANT,141 E. MAIN,ACTIVE,1.0,98.0,2015-06-22,  19  23,NO,2004-04-30
67013.0,ALFALFA RESTAURANT,141 E. MAIN,ACTIVE,1.0,100.0,2015-12-23,,NO,2004-04-30
71072.0,ALI BABA,412 SOUTHLAND DR,ACTIVE,1.0,100.0,2015-12-28,,NO,2015-12-28
30745.0,AL'S BAR,601 NORTH LIMESTONE,ACTIVE,1.0,91.0,2015-04-06,   5  13  19  20  30  31,YES,1988-07-11
30745.0,AL'S BAR,601 NORTH LIMESTONE,ACTIVE,2.0,94.0,2015-04-20,  15  19  20  30  34,NO,1988-07-11
30745.0,AL'S BAR,601 NORTH LIMESTONE,ACTIVE,1.0,92.0,2015-09-28,   8  18  19  20  26  30,NO,1988-07-11
81536.0,AMERICA'S UPTOWN HOUNDS LUXURY,466 ANGLIANA AVE,ACTIVE,1.0,98.0,2015-06-15,  23  30,NO,2015-06-12
81536.0,AMERICA'S UPTOWN HOUNDS LUXURY,466 ANGLIANA AVE,ACTIVE,1.0,98.0,2015-07-22,  12,NO,2015-06-12
42242.0,ANDOVER GOLF AND COUNTRY CLUB,3450 TODDS RD,ACTIVE,1.0,98.0,2015-01-05,  19  30,NO,1990-07-03
42242.0,ANDOVER GOLF AND COUNTRY CLUB,3450 TODDS RD,ACTIVE,1.0,97.0,2015-07-10,  15  19  30,NO,1990-07-03
42242.0,ANDOVER GOLF AND COUNTRY CLUB,3450 TODDS RD,ACTIVE,1.0,99.0,2016-01-05,  23,NO,1990-07-03
89969.0,APIARY CATERING & EVENTS,218 W JEFFERSON ST,ACTIVE,1.0,100.0,2015-03-19,,NO,2012-02-16
89969.0,APIARY CATERING & EVENTS,218 W JEFFERSON ST,ACTIVE,1.0,100.0,2015-09-23,,NO,2012-02-16
85539.0,APOTHECARY CAFE,789 S LIMESTONE,ACTIVE,1.0,100.0,2015-04-27,,NO,2010-04-01
85539.0,APOTHECARY CAFE,789 S LIMESTONE,ACTIVE,1.0,99.0,2015-11-16,  19,NO,2010-04-01
60544.0,APPLEBEE'S NEIGHBOR HOOD GRILL & BAR,1856 ALYSHEBA WAY,ACTIVE,1.0,96.0,2015-01-15,  12  15  31,NO,2013-12-23
60544.0,APPLEBEE'S NEIGHBOR HOOD GRILL & BAR,1856 ALYSHEBA WAY,ACTIVE,1.0,92.0,2015-07-29,  15  17  19  30  31,NO,2013-12-23
60544.0,APPLEBEE'S NEIGHBOR HOOD GRILL & BAR,1856 ALYSHEBA WAY,ACTIVE,2.0,96.0,2015-07-29,  15  19  30  31,NO,2013-12-23
60544.0,APPLEBEE'S NEIGHBOR HOOD GRILL & BAR,1856 ALYSHEBA WAY,ACTIVE,1.0,98.0,2016-01-12,  15  19,NO,2013-12-23
39671.0,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,4009 NICHOLASVILLE RD,ACTIVE,1.0,100.0,2014-12-09,,NO,2013-12-23
39671.0,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,4009 NICHOLASVILLE RD,ACTIVE,1.0,85.0,2015-06-10,   1  12  15  17  26  30  32,YES,2013-12-23
39671.0,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,4009 NICHOLASVILLE RD,ACTIVE,2.0,89.0,2015-06-23,   3   4  12  15  30,YES,2013-12-23
39671.0,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,4009 NICHOLASVILLE RD,ACTIVE,2.0,100.0,2015-06-30,,NO,2013-12-23
39671.0,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,4009 NICHOLASVILLE RD,ACTIVE,1.0,95.0,2015-11-17,   5  26  30,NO,2013-12-23
71880.0,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,1761 SHARKEY WAY,ACTIVE,1.0,92.0,2015-01-31,  12  14  19  23  30,NO,2013-12-23
71880.0,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,1761 SHARKEY WAY,ACTIVE,2.0,95.0,2015-01-31,  12  19  23  30,NO,2013-12-23
71880.0,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,1761 SHARKEY WAY,ACTIVE,1.0,97.0,2015-09-08,  15  20  31,NO,2013-12-23
76520.0,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,2299 RICHMOND ROAD,ACTIVE,1.0,99.0,2015-04-16,  30,NO,2013-12-16
76520.0,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,2299 RICHMOND ROAD,ACTIVE,1.0,98.0,2015-10-21,  15  30,NO,2013-12-16
30794.0,ARAMARK CAFETERIA, BLACKBURN CORR. COMPLEX,ACTIVE,1.0,98.0,2014-12-11,   8,NO,1988-07-12
30794.0,ARAMARK CAFETERIA, BLACKBURN CORR. COMPLEX,ACTIVE,1.0,98.0,2015-06-25,  16,NO,1988-07-12
30794.0,ARAMARK CAFETERIA, BLACKBURN CORR. COMPLEX,ACTIVE,1.0,98.0,2015-12-01,  23  30,NO,1988-07-12
31459.0,ARAMARK-BLDG 3/LEXMARK,740 NEW CIRCLE RD,ACTIVE,1.0,100.0,2015-01-29,,NO,1988-07-14
31459.0,ARAMARK-BLDG 3/LEXMARK,740 NEW CIRCLE RD,ACTIVE,1.0,100.0,2015-08-13,,NO,1988-07-14
36043.0,ARAMARK-BUILDING 32-35/LEXMARK,740 NEW CIRCLE RD  BLDGS 32-35,ACTIVE,1.0,100.0,2015-01-29,,NO,1988-10-06
36043.0,ARAMARK-BUILDING 32-35/LEXMARK,740 NEW CIRCLE RD  BLDGS 32-35,ACTIVE,1.0,100.0,2015-08-13,,NO,1988-10-06
76790.0,ARBOR YOUTH SERVICES,536 W. THIRD STREET,ACTIVE,1.0,100.0,2015-01-12,,NO,2006-09-07
76790.0,ARBOR YOUTH SERVICES,536 W. THIRD STREET,ACTIVE,1.0,100.0,2015-07-13,,NO,2006-09-07
48387.0,ARBY'S,410 W. VINE ST.,ACTIVE,1.0,95.0,2015-06-02,  26  31  34,NO,1993-03-19
48387.0,ARBY'S,410 W. VINE ST.,ACTIVE,1.0,97.0,2015-11-23,  15  31  32,NO,1993-03-19
48691.0,ARBY'S,3110 PIMLICO PKWY,ACTIVE,1.0,99.0,2014-12-02,  23,NO,1993-05-07
48691.0,ARBY'S,3110 PIMLICO PKWY,ACTIVE,1.0,99.0,2015-05-27,  19,NO,1993-05-07
48691.0,ARBY'S,3110 PIMLICO PKWY,ACTIVE,1.0,99.0,2015-11-16,  15,NO,1993-05-07
49229.0,ARBY'S - PALOMAR,3745 HARRODSBURG RD,ACTIVE,1.0,96.0,2014-12-11,  15  19  23  31,NO,1993-08-09
49229.0,ARBY'S - PALOMAR,3745 HARRODSBURG RD,ACTIVE,1.0,97.0,2015-06-26,  19  20  32,NO,1993-08-09
49229.0,ARBY'S - PALOMAR,3745 HARRODSBURG RD,ACTIVE,1.0,98.0,2015-12-18,  31  32,NO,1993-08-09
30759.0,ARBY'S #1092,2649 RICHMOND RD,ACTIVE,1.0,96.0,2015-04-14,  19  23  30  31,NO,2010-01-01
30759.0,ARBY'S #1092,2649 RICHMOND RD,ACTIVE,1.0,97.0,2015-10-01,  19  30  31,NO,2010-01-01
30756.0,ARBY'S #1128, NORTH PARK SHOPPING CENTER,ACTIVE,1.0,98.0,2015-04-20,  23  31,NO,2009-12-13
30756.0,ARBY'S #1128, NORTH PARK SHOPPING CENTER,ACTIVE,1.0,97.0,2015-10-12,  12  30,NO,2009-12-13
30761.0,ARBY'S #1299,3261 NICHOLASVILLE RD,ACTIVE,1.0,100.0,2014-12-08,,NO,2010-01-01
30761.0,ARBY'S #1299,3261 NICHOLASVILLE RD,ACTIVE,1.0,98.0,2015-05-27,  12,NO,2010-01-01
30761.0,ARBY'S #1299,3261 NICHOLASVILLE RD,ACTIVE,1.0,100.0,2015-11-16,,NO,2010-01-01
30757.0,ARBY'S #1339,507 S LIMESTONE ST,ACTIVE,1.0,100.0,2015-01-02,,NO,2010-01-01
30757.0,ARBY'S #1339,507 S LIMESTONE ST,ACTIVE,1.0,100.0,2015-07-14,,NO,2010-01-01
30762.0,ARBY'S #159,212 SOUTHLAND DR,ACTIVE,1.0,100.0,2015-04-02,,NO,2010-01-01
30762.0,ARBY'S #159,212 SOUTHLAND DR,ACTIVE,1.0,96.0,2015-09-30,  12  27,NO,2010-01-01
62651.0,ARBY'S #6911,1949 PLAUDIT PLACE,ACTIVE,1.0,98.0,2015-05-13,   9,NO,2010-01-01
62651.0,ARBY'S #6911,1949 PLAUDIT PLACE,ACTIVE,1.0,99.0,2015-10-26,  30,NO,2010-01-01
30760.0,ARBY'S #784,1228 S BROADWAY,ACTIVE,1.0,100.0,2015-05-21,,NO,2010-01-01
30760.0,ARBY'S #784,1228 S BROADWAY,ACTIVE,1.0,99.0,2015-10-16,  32,NO,2010-01-01
30758.0,ARBY'S OF LEXINGTON #1952,2270 ELKHORN DR,ACTIVE,1.0,96.0,2015-03-11,  15  29  30,NO,2010-01-01
30758.0,ARBY'S OF LEXINGTON #1952,2270 ELKHORN DR,ACTIVE,1.0,96.0,2015-09-16,   8  15  30,NO,2010-01-01
30763.0,ARBY'S RESTAURANT,3391 TATES CREEK RD,ACTIVE,1.0,95.0,2015-04-03,   4   8  31,NO,1988-07-12
30763.0,ARBY'S RESTAURANT,3391 TATES CREEK RD,ACTIVE,1.0,99.0,2015-09-22,  15,NO,1988-07-12
91858.0,ARCADIUM,574 N LIMESTONE,ACTIVE,1.0,99.0,2014-12-17,  19,NO,2012-11-02
91858.0,ARCADIUM,574 N LIMESTONE,ACTIVE,1.0,99.0,2015-06-30,  19,NO,2012-11-02
91858.0,ARCADIUM,574 N LIMESTONE,ACTIVE,1.0,99.0,2015-12-10,  19,NO,2012-11-02
71289.0,ARCHITECTURAL KITCHENS & BATHS,345 LAFAYETTE AVE,ACTIVE,1.0,100.0,2015-02-27,,NO,2005-03-03
71289.0,ARCHITECTURAL KITCHENS & BATHS,345 LAFAYETTE AVE,ACTIVE,1.0,100.0,2015-09-18,,NO,2005-03-03
30904.0,ARIRANG GARDEN,109 MT TABOR RD,ACTIVE,1.0,98.0,2014-12-10,  19  31,NO,1994-11-07
30904.0,ARIRANG GARDEN,109 MT TABOR RD,ACTIVE,1.0,98.0,2015-05-13,  19  31,NO,1994-11-07
30904.0,ARIRANG GARDEN,109 MT TABOR RD,ACTIVE,1.0,100.0,2015-11-19,,NO,1994-11-07
